img_id,phase,iou_RV,dice_RV,hd_RV,assd_RV,iou_MYO,dice_MYO,hd_MYO,assd_MYO,iou_LV,dice_LV,hd_LV,assd_LV
A4U9V5,ES,0.4881606765327804,0.6560590993038833,56.73623181001713,1.4761006928300686,0.1709943001900068,0.2920497566252124,58.360945845659494,2.6211024866021946,0.39039150302581954,0.5615562266832513,30.347981810987037,2.1076371842709456
A6B5G9,ED,0.2506254598969941,0.40080018827960223,85.44588931013593,8.938550639391435,0.004580589750944681,0.009119407238543615,68.60757975617562,10.71446431259514,1.2675877804537804e-14,1.2675877804537804e-14,99.29249719893241,23.623285299377102
A6B5G9,ES,0.07268053283479614,0.13551198257082495,89.7552226892675,18.462712396910728,0.003502115861680964,0.006979787698138622,70.71067811865476,15.848833881696876,2.1640337589265924e-14,2.1640337589265924e-14,99.82985525382675,31.339468150952786
A6D5F9,ED,0.19530849427448646,0.3267917783735502,68.47627326307996,4.960528496052853,0.020693754052307,0.04054840929543677,63.00793600809346,6.348878921300052,0.05871856585609155,0.11092384274683845,108.3097410208334,11.800192133967293
A6D5F9,ES,0.1288641889545024,0.2283076923076957,70.5620294492725,7.185864113328651,0.04077849860982915,0.07836153161175907,65.52098900352466,5.568194921925503,0.015839368780551047,0.03118479016926136,104.75208828467335,12.311201606654878
A7D9L8,ED,0.3521156708484015,0.520836609529804,51.273774973177076,7.855048246571775,0.046519553548615096,0.08890336237076375,49.05099387372289,7.918769631664489,0.04560539556793656,0.08723251766152261,88.04544281222056,13.86283935631888
A7D9L8,ES,0.01608158462445546,0.03165412082611404,60.166435825965294,20.714233251664012,0.009346764980797494,0.01852042391193519,64.26507605223851,14.648625406603168,2.99043062200948e-14,2.99043062200948e-14,67.42403132415029,20.561966703376683
A7M7P8,ED,0.27324322306026977,0.4292082111436984,58.0,6.528294008494033,0.06010338345865104,0.1133915510439332,80.7465169527454,6.84279405166198,6.797634423220673e-15,6.797634423220673e-15,87.75534171775527,9.526621104241798
A7M7P8,ES,2.10792580101176e-14,2.10792580101176e-14,55.35341001239219,25.30909077617973,0.0034930996965068808,0.006961880849126873,89.1010662113535,13.323289735900843,1.9860973187685804e-14,1.9860973187685804e-14,88.82004278314665,14.678447813379488
A7O4T6,ED,0.43884083044983185,0.6099921842121109,46.281745861624536,5.037047428898803,0.11444812884889517,0.2053897815183269,38.65229618017538,3.187511786370213,0.266151758689076,0.42041051850630856,37.0,2.513739877417555
A7O4T6,ES,0.32452830188680093,0.49002849002849486,57.60208329565867,6.458160271133588,0.11531127313517538,0.20677863823796433,46.238512086787566,4.709884851222093,0.2743215662559583,0.4305374303001577,36.68787265568828,2.6246655613985013
B0H7V0,ED,0.5671531373999625,0.7238005321431649,11.445523142259598,1.2867409862345005,0.06583707133555879,0.12354059190877598,65.58200972827838,7.273411320727947,0.0024599269957228816,0.004907781207955316,89.90550594930212,17.830360325038722
B0H7V0,ES,0.43396226415094935,0.6052631578947397,13.0,1.3813456769916197,0.056838223504897735,0.10756277023439956,68.47627326307996,11.432933631489886,1.5112588786458892e-14,1.5112588786458892e-14,97.06183596038146,23.38378836173436
B0I2Z0,ED,0.309234171965727,0.47238939921867307,65.83312236253116,11.713418024164616,0.0312916633989567,0.06068441064639498,68.2934843158555,12.75078304798022,0.42646580687114527,0.5979334447652364,90.38252043398657,3.128543457506815
B0I2Z0,ES,0.08627717391306416,0.15884928080051786,70.97887009526144,20.864268750758722,0.004247286455884811,0.008458646616550672,72.78049189171504,15.850305027335342,0.3911564625850439,0.5623471882640638,95.67131231461184,4.511038930915868
B2C2Z7,ED,0.4794660573627595,0.6481609428977865,51.332251070842396,3.782283751364162,0.05808158493817106,0.1097865906844269,45.32107677449864,6.10026119555014,0.1398199692052639,0.24533693562633532,84.5103543951864,5.762329039431378
B2C2Z7,ES,0.32601125100456,0.49171717171717516,53.075418038862395,5.99622011852796,0.08025127046866827,0.14857889578569652,73.37574531137656,7.14089527061507,0.2629235068110438,0.4163728133858853,104.43658362853508,8.121157183678886
B2D9M2,ED,0.0421120829284198,0.08082064034815997,51.59457335805772,16.284150869737417,0.0006988120195754656,0.001396648044701454,58.215118311311535,7.186685214472339,0.025457047375673034,0.049650148567055984,66.49060083951716,7.974743032822496
B2D9M2,ES,2.1584286639326104e-14,2.1584286639326104e-14,58.08614292583042,37.72520162416909,0.00038513383401694217,0.0007699711260923891,61.424750711744856,10.968715169402962,0.01789093411321146,0.035152949129642806,87.12060605849801,6.403134855987478
B2G5R2,ED,0.21172147366438132,0.34945567651633475,53.48831648126533,9.998190051758094,0.02204192992533729,0.043133122585184105,80.7093550959243,7.165186231814792,0.008419615428387662,0.016698634773789724,72.42927584892728,19.766408384967228
B2G5R2,ES,0.11947828226899078,0.21345350626512186,88.41945487278238,16.734697690820262,0.012424474512815824,0.024544002689761917,86.33075929238663,11.799175238632845,0.00021231422507430548,0.000424538314604109,71.58910531638176,27.94265129418502
B3F0V9,ED,0.27009182666768405,0.42531070745698246,71.97916365171243,3.34777199754953,0.16112391614532806,0.2775309575574319,11.045361017187261,2.0428851170376103,0.23595287415847208,0.38181532498821885,71.14070564732964,7.6829839797988315
B3F0V9,ES,0.22045714285715176,0.36126978181478264,65.58200972827838,4.7238945298165955,0.10933568193257286,0.19711920154248389,13.038404810405298,2.492808232420707,0.16920897799085674,0.28944180411891446,76.10519036176179,9.696647315228363
B3O1S0,ED,0.5796237277680726,0.7338756915066728,47.686476070265456,5.519146975106492,0.09332864345176348,0.17072386058982122,68.1248853210044,3.9991201596399923,0.10893810870248893,0.19647283801969548,83.33666660000267,13.137434960078622
B3O1S0,ES,0.2625667464555466,0.41592533177775387,52.86775955154521,10.375373500020153,0.008020128951108539,0.015912636505475572,72.49827584156743,9.738419958374052,0.021780303030318467,0.042632066728467054,79.20858539325141,21.030781169752938
B3P3R1,ED,0.15815602836880926,0.273116962645449,22.759613353482084,3.3955011387463667,0.05095989546689063,0.09697781178271714,30.692018506445613,3.934031239797309,0.06427904806347336,0.1207935985969624,27.784887978899608,3.434182983044827
B3P3R1,ES,4.288164665522972e-14,4.288164665522972e-14,36.180105030251084,19.56977529981811,0.01128498344870582,0.02231810742450495,58.215118311311535,7.02183430347271,0.009699909063382549,0.01921344941461966,30.166206257996713,6.325268137922317
